Hash,Message,Hashes of Parents,Is a merge commit,List of modified files
8800fe9252802753643a0e48de52c9d8d12f52f6,Port to OSX and other fixes,['76745998505624f470a87799a9a73cc4d9627c5f'],No,"['examples/plot_memory.py', 'memory_profiler.py']"
c953ca4a9df3a3321166803752608b70e2f2632a,FIX: display last statement,['8af133fea446421398a575faa8ec1b73e70fc632'],No,['memory_profiler.py']
ec9ee7032b01cf9350628a57f9c5111a48093366,Fix typos in README and make a new release,['992bb0a8c911e1e35b51f319d132fee6bc2a35c0'],No,"['README.rst', 'memory_profiler.py']"
4214cfc13d033c43044eb4c9293258609fc6934f,FIX: README.rst was not included in source distribution,['ea5d79bd10b52b61ad28ac06d7c40fdae2dbc05d'],No,"['MANIFEST', 'memory_profiler.py']"
303cab8df4b2274c5086cde80fc53ab49e5e80f4,Explicit error for non-Unix,['7a9ec119e190866b5c61a8c810a2155774d05572'],No,['memory_profiler.py']
ffe1fd28d66fca10b0f4aa0fd412e2ef496a0fbc,FIX: line display,['303cab8df4b2274c5086cde80fc53ab49e5e80f4'],No,['memory_profiler.py']
da9817994b29e5f7a0c204236a401908d1318c70,Fixed windows support,['75ca170cd5b5bc62508c4da6a9dd44457fd203dc'],No,['memory_profiler.py']
5fc0ecb048233d5ee751e74a67bb18e5fe85c868,Use -l -v by default,['697bed0a9516721a2f06e6dea09123b7e0b2c8c5'],No,"['README.rst', 'memory_profiler.py']"
a60ed7245a14aee34f430268754186bb6c15b488,-l -v are now on by default,['ddd3033e4b9ec58dae49d3c7914e9d60a898442c'],No,['README.rst']
b7e2cddeca38ab506bcef1a8260ceccce9496838,Fix UserWarning that occurs in Python 3,['23f6bf680f017eaecb947f0fe4d85b3c67b91f48'],No,['memory_profiler.py']
7d006a5c0cb2224052b19192db6287bb09b28f55,"Convert str of unicode chars to str of bytes  This fixes:   ...   File ""memory_profiler.py"", line 31, in _get_memory     stdout=subprocess.PIPE).communicate()[0].split('\n') TypeError: Type str doesn't support the buffer API",['b7e2cddeca38ab506bcef1a8260ceccce9496838'],No,['memory_profiler.py']
570a8863ba08801a55369224a22ef83ccf1a995b,Merge pull request #4 from octavo/master  Fix Python3 Support,"['f2a308a6b5c8a7eb2dfb99f62bd1c34fb5acccd2', '2e298df0fe544ca4a3e470d64156cf21e61c1409']",Yes,[]
e236aa8684e1dac8a175393754d851ef500fadf6,Remove debugging trace.,['374ddd202030d1dc1260e6bb5902cec37b02b330'],No,['memory_profiler.py']
